o_geoid,geotype,cs_baseline,busavailability,st_code,networktype,microtype,job_density,hhmedianincome,unemployment_rate,frac_age_above_65,edu_above_bs,frac_below_poverty,frac_hh_inc_below_40k,frac_hh_inc_above_100k,frac_hh_no_veh,frac_tenure_renter,transavail,transavail2,network_enc,transavail_enc,microtype_enc,geotype_enc,geo_A,geo_B,geo_C,geo_D,micro_1,micro_2,micro_3,micro_4,micro_5,urban,network_U1,network_U2,network_U3,network_U4,network_U5,network_R1,network_R2,network_R3,busavailability2,county,county_enc,cs_baseline_nooutliers
1001020100,B,68.473373,0,AL,5: Urban 5,4: Rural town center,21.898973,67826,2.8320973,.1295393,.37807783,.047154471,.37798408,.26525199,.00795756,.24801061,bin1: 0,bin1: 0,5: Urban 5,bin1: 0,4: Rural town center,B,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,01001,01001,1
1001020200,B,67.582764,0,AL,5: Urban 5,2: Urban mixed-use,461.25919,41287,1.7699115,.12062615,.16234653,.097363085,.4559387,.14559387,.086845465,.38058749,bin1: 0,bin1: 0,5: Urban 5,bin1: 0,2: Urban mixed-use,B,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,01001,01001,1
1001020300,B,68.052925,0,AL,5: Urban 5,2: Urban mixed-use,144.69255,46806,2.7320359,.17282127,.18060918,.060561299,.44018763,.14542611,.11415168,.33620015,bin1: 0,bin1: 0,5: Urban 5,bin1: 0,2: Urban mixed-use,B,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,01001,01001,1
1001020400,B,66.788002,0,AL,3: Urban 3,2: Urban mixed-use,93.041092,55895,3.5778177,.21068667,.26732004,.013123975,.32475701,.18067467,.010291595,.20354488,bin1: 0,bin1: 0,3: Urban 3,bin1: 0,2: Urban mixed-use,B,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,01001,01001,1
1001020500,B,67.719902,0,AL,3: Urban 3,2: Urban mixed-use,349.3772,68143,1.4705882,.14259909,.40536186,.047648326,.27587029,.30114448,.070100144,.47234145,bin1: 0,bin1: 0,3: Urban 3,bin1: 0,2: Urban mixed-use,B,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,01001,01001,1
1001020600,B,65.849358,0,AL,5: Urban 5,3: Suburban,139.89748,44549,3.1173379,.13425414,.20434602,.055185802,.43950996,.22434916,.038284838,.22817764,bin1: 0,bin1: 0,5: Urban 5,bin1: 0,3: Suburban,B,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,01001,01001,1
1001020700,B,66.769951,0,AL,5: Urban 5,2: Urban mixed-use,94.196487,41250,10.988173,.14093567,.11935953,.086751252,.49315068,.079908676,.031963471,.37214613,bin1: 0,bin1: 0,5: Urban 5,bin1: 0,2: Urban mixed-use,B,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,01001,01001,1
1001020801,B,67.050461,0,AL,5: Urban 5,2: Urban mixed-use,1.9070967,80089,4.732419,.1338826,.38741887,.040508069,.24830918,.39806762,.049275361,.16231884,bin1: 0,bin1: 0,5: Urban 5,bin1: 0,2: Urban mixed-use,B,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,01001,01001,1
1001020802,B,65.997849,0,AL,5: Urban 5,2: Urban mixed-use,4.3025904,64439,1.2790698,.12159181,.24520491,.035244238,.32633123,.25036639,.041768443,.14973131,bin1: 0,bin1: 0,5: Urban 5,bin1: 0,2: Urban mixed-use,B,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,01001,01001,1
1001020900,B,65.497833,0,AL,5: Urban 5,4: Rural town center,1.2262733,49469,4.1266599,.10864278,.16827619,.040538348,.41625282,.2925508,.041986454,.16749436,bin1: 0,bin1: 0,5: Urban 5,bin1: 0,4: Rural town center,B,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,01001,01001,1
1001021000,B,60.34272,0,AL,5: Urban 5,5: Rural agriculture,.54281616,46607,3.4498208,.16022889,.15227883,.057173677,.39105058,.14007781,.0087548634,.22568093,bin1: 0,bin1: 0,5: Urban 5,bin1: 0,5: Rural agriculture,B,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,01001,01001,1
1001021100,B,62.926365,0,AL,5: Urban 5,5: Rural agriculture,.39108217,36450,2.8191073,.18490326,.097052157,.096098952,.50959325,.1028396,.14658481,.1542594,bin1: 0,bin1: 0,5: Urban 5,bin1: 0,5: Rural agriculture,B,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,01001,01001,1
