	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline
										
2.geotype_enc	-14.00***	-9.135***								
	(1.193)	(0.819)								
3.geotype_enc	-13.27***	-5.981***								
	(1.153)	(0.832)								
4.geotype_enc	-26.96***	-19.60***								
	(1.419)	(1.229)								
busavailability		-0.600					2.855	-1.633	1.237	74.85**
		(5.155)					(5.925)	(4.882)	(7.266)	(32.44)
busavailability2		10.01					2.419	8.958	12.30	-83.60*
		(7.224)					(8.379)	(7.115)	(10.49)	(43.95)
frac_age_above_65		-5.785***					-1.940	-4.413	7.315	22.96
		(2.191)					(2.712)	(2.909)	(6.836)	(16.66)
edu_above_bs		-4.919***					-9.015***	-3.197	-34.72***	-73.42***
		(1.848)					(1.972)	(3.956)	(7.485)	(13.32)
frac_hh_no_veh		46.77***					40.67***	27.00***	15.54	-69.35***
		(3.355)					(3.084)	(4.562)	(12.63)	(17.00)
frac_tenure_renter		2.821					4.383**	-1.821	-16.58***	-34.65***
		(1.715)					(1.840)	(1.783)	(4.414)	(8.056)
frac_below_poverty		-23.90***					-29.11***	-2.979	34.09**	135.5***
		(3.976)					(4.755)	(4.461)	(14.72)	(27.49)
frac_hh_inc_below_40k		-3.983*					-4.800	-5.309**	-18.97***	3.380
		(2.127)					(2.914)	(2.199)	(5.584)	(12.94)
frac_hh_inc_above_100k		11.12***					18.22***	0.974	-7.496	-23.70
		(2.600)					(2.675)	(4.771)	(9.631)	(16.12)
job_density		-3.74e-05***					-5.10e-05***	0.000296***	0.0106**	0.0159***
		(9.43e-06)					(1.03e-05)	(9.53e-05)	(0.00492)	(0.00486)
2.microtype_enc			-11.98***	-6.712***	-1.891	-7.418	-7.575***	-5.106***	-0.0914	-5.127
			(1.149)	(0.649)	(5.028)	(10.47)	(0.684)	(0.553)	(4.937)	(6.213)
3.microtype_enc			-14.01***	-7.271***	-2.241	-3.472	-9.242***	-5.289***	-1.063	-1.289
			(1.194)	(0.702)	(5.031)	(10.71)	(0.592)	(0.605)	(4.872)	(6.894)
4.microtype_enc			-14.89***	-3.627***	4.592	-7.536	-7.434***	-0.944	5.243	-8.609
			(1.365)	(1.064)	(5.151)	(11.06)	(0.809)	(0.807)	(4.950)	(6.529)
5.microtype_enc			-19.29***	-13.19***	-4.673	-13.08	-11.48***	-10.48***	-4.068	-14.75**
			(1.298)	(1.061)	(5.057)	(10.88)	(0.790)	(0.822)	(4.884)	(6.319)
Constant	79.69***	72.36***	88.36***	72.04***	68.12***	64.54***	78.24***	71.66***	81.82***	80.17***
	(1.001)	(0.874)	(1.322)	(1.064)	(5.088)	(10.85)	(1.109)	(1.202)	(5.930)	(9.167)
										
Observations	73,056	72,182	46,578	21,619	4,008	851	46,091	21,307	3,939	845
R-squared	0.280	0.502	0.339	0.121	0.066	0.023	0.592	0.170	0.114	0.301
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
