	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline	cs_baseline
										
2.geotype_enc	-14.00***	-9.135***								
	(1.193)	(0.819)								
3.geotype_enc	-13.27***	-5.981***								
	(1.153)	(0.832)								
4.geotype_enc	-26.96***	-19.60***								
	(1.419)	(1.229)								
busavailability		-0.600					-0.382	-0.382	1.402	48.41
		(5.155)					(5.909)	(4.850)	(8.168)	(32.40)
busavailability2		10.01					8.151	8.416	8.284	-49.64
		(7.224)					(8.309)	(7.072)	(11.68)	(42.32)
frac_age_above_65		-5.785***					-2.285	-5.136*	7.162	16.88
		(2.191)					(2.821)	(2.920)	(6.526)	(16.60)
edu_above_bs		-4.919***					-10.02***	-3.457	-34.86***	-55.28***
		(1.848)					(2.007)	(3.878)	(7.274)	(13.98)
frac_hh_no_veh		46.77***					42.70***	28.77***	10.57	-72.81***
		(3.355)					(3.158)	(4.608)	(12.34)	(16.31)
frac_tenure_renter		2.821					3.441*	-1.488	-14.69***	-29.93***
		(1.715)					(1.945)	(1.837)	(4.772)	(8.277)
frac_below_poverty		-23.90***					-33.57***	-5.249	35.54**	122.5***
		(3.976)					(4.655)	(4.655)	(14.58)	(28.80)
frac_hh_inc_below_40k		-3.983*					-4.209	-6.376***	-20.27***	-0.645
		(2.127)					(2.905)	(2.185)	(5.419)	(13.29)
frac_hh_inc_above_100k		11.12***					17.00***	0.333	-6.624	-29.98*
		(2.600)					(2.874)	(4.840)	(9.711)	(16.64)
job_density		-3.74e-05***					-5.73e-05***	0.000347***	0.0115**	0.0184***
		(9.43e-06)					(1.41e-05)	(8.73e-05)	(0.00513)	(0.00482)
2.network_enc			-12.67***	-4.562***			-6.100***	-3.152***		
			(1.537)	(0.651)			(0.715)	(0.595)		
3.network_enc			-11.39***	-4.453***			-4.569***	-2.778***		
			(1.571)	(0.572)			(0.548)	(0.524)		
4.network_enc			-12.82***	-3.758***			-5.748***	-2.222***		
			(1.599)	(0.809)			(0.716)	(0.620)		
5.network_enc			-16.33***	-8.108***			-7.931***	-5.176***		
			(1.663)	(0.717)			(0.892)	(0.730)		
7.network_enc					-6.622***	-8.574***			-7.452***	-8.982***
					(0.819)	(1.704)			(0.878)	(1.821)
8.network_enc					4.615***	4.439**			3.588***	1.185
					(0.841)	(2.114)			(1.019)	(2.158)
Constant	79.69***	72.36***	89.91***	71.26***	65.62***	55.90***	77.85***	70.96***	81.28***	72.18***
	(1.001)	(0.874)	(1.666)	(0.861)	(0.729)	(1.737)	(1.226)	(1.346)	(3.608)	(7.386)
										
Observations	73,056	72,182	46,578	21,619	4,008	851	46,091	21,307	3,939	845
R-squared	0.280	0.502	0.259	0.049	0.106	0.108	0.526	0.112	0.149	0.329
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
