	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	hhmedianincome	hhmedianincome	hhmedianincome	hhmedianincome	hhmedianincome	hhmedianincome
						
0b.urban#c.micro_1#c.cs_baseline					-24.34	
					(33.81)	
1.urban#c.micro_1#c.cs_baseline					4.489	
					(31.60)	
0b.urban#c.micro_2#c.cs_baseline					50.82**	
					(25.13)	
1.urban#c.micro_2#c.cs_baseline					79.57***	
					(26.71)	
0b.urban#c.micro_3#c.cs_baseline					91.07***	
					(28.20)	
1.urban#c.micro_3#c.cs_baseline					120.8***	
					(29.38)	
0b.urban#c.micro_4#c.cs_baseline					31.09	
					(25.10)	
1.urban#c.micro_4#c.cs_baseline					58.41**	
					(27.35)	
0b.urban#c.micro_5#c.cs_baseline					45.44**	
					(22.52)	
1.urban#c.micro_5#c.cs_baseline					67.97***	
					(24.34)	
geo_B			648.0	-6,763***	722.1*	702.3*
			(401.4)	(2,010)	(404.1)	(408.5)
geo_C			273.2	-2,555	2,070*	-4,754**
			(584.5)	(2,426)	(1,239)	(2,062)
geo_D			-277.6	-6,983***	1,100	-5,773***
			(775.6)	(2,358)	(1,204)	(2,049)
network_U2			500.7**	489.9**	440.7**	-1,788
			(225.4)	(223.7)	(217.7)	(1,117)
network_U3			442.7*	432.6*	375.4*	-1,521
			(235.1)	(233.6)	(227.2)	(1,114)
network_U4			489.6**	469.5*	429.9*	-3,970***
			(241.6)	(239.7)	(233.9)	(1,298)
network_U5			321.8	353.7	402.2	-9,122***
			(322.0)	(320.6)	(321.5)	(1,607)
network_R1			453.7*	419.9*	429.8	244.0
			(251.7)	(252.5)	(275.7)	(1,190)
network_R2			545.7**	449.5*	457.6*	-1,003
			(238.1)	(240.3)	(243.6)	(1,025)
o.network_R3					-	-
						
micro_2			425.9*	284.0	-5,744***	216.3
			(230.4)	(249.2)	(1,401)	(231.3)
micro_3			531.1*	308.9	-8,620***	388.1
			(276.7)	(306.4)	(1,525)	(280.9)
micro_4			64.62	-89.29	-4,667***	-104.5
			(256.5)	(279.0)	(1,601)	(265.9)
micro_5			182.6	83.64	-5,421***	332.8
			(296.5)	(312.9)	(1,488)	(300.6)
busavailability			4,680***	4,824***	4,339***	4,303***
			(1,335)	(1,334)	(1,324)	(1,332)
busavailability2			-7,641***	-7,783***	-7,225***	-6,973***
			(1,847)	(1,838)	(1,823)	(1,829)
frac_age_above_65		-13,777***	-13,926***	-13,893***	-13,979***	-13,954***
		(1,478)	(1,477)	(1,467)	(1,487)	(1,473)
edu_above_bs		10,976***	10,997***	11,022***	10,771***	10,953***
		(1,352)	(1,371)	(1,373)	(1,357)	(1,366)
frac_hh_no_veh		-2,556	-2,960	-2,295	-2,060	-2,064
		(2,060)	(1,954)	(1,967)	(1,956)	(1,943)
frac_tenure_renter		-9,366***	-9,450***	-9,475***	-9,467***	-9,508***
		(888.3)	(879.3)	(878.9)	(879.2)	(881.8)
frac_below_poverty		-28,080***	-27,883***	-28,314***	-28,510***	-28,653***
		(2,601)	(2,583)	(2,607)	(2,594)	(2,652)
frac_hh_inc_below_40k		-15,167***	-15,329***	-15,363***	-15,568***	-15,480***
		(2,916)	(2,898)	(2,900)	(2,885)	(2,889)
frac_hh_inc_above_100k		133,917***	133,591***	133,461***	133,549***	133,368***
		(2,837)	(2,852)	(2,853)	(2,854)	(2,840)
job_density		0.0332	0.0359	0.0361	0.0374	0.0368
		(0.0283)	(0.0274)	(0.0273)	(0.0278)	(0.0272)
pop_density		-0.0575	-0.0464	-0.0423	-0.0310	-0.0362
		(0.0417)	(0.0416)	(0.0413)	(0.0416)	(0.0413)
unemployment_rate		133.0***	131.7***	132.2***	131.7***	133.0***
		(22.71)	(22.18)	(22.22)	(22.11)	(22.08)
c.geo_A#c.cs_baseline				26.98		
				(36.83)		
c.geo_B#c.cs_baseline				133.1***		
				(22.42)		
c.geo_C#c.cs_baseline				58.02**		
				(23.20)		
c.geo_D#c.cs_baseline				122.4***		
				(28.71)		
cs_baseline	-2,079***	29.66*	82.15***			
	(137.9)	(17.16)	(24.43)			
c.network_U1#c.cs_baseline						19.83
						(28.78)
c.network_U2#c.cs_baseline						46.93*
						(27.51)
c.network_U3#c.cs_baseline						42.72
						(27.12)
c.network_U4#c.cs_baseline						76.07***
						(28.43)
c.network_U5#c.cs_baseline						148.5***
						(28.04)
c.network_R1#c.cs_baseline						80.45***
						(26.18)
c.network_R2#c.cs_baseline						99.61***
						(24.72)
c.network_R3#c.cs_baseline						76.32***
						(27.14)
Constant	216,708***	35,533***	31,295***	35,697***	37,848***	36,475***
	(10,282)	(2,191)	(2,833)	(3,653)	(3,208)	(3,035)
						
Observations	72,061	72,018	72,018	72,018	72,018	72,018
R-squared	0.093	0.889	0.889	0.889	0.889	0.889
Number of county_enc	3,142	3,140	3,140	3,140	3,140	3,140
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
