	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	hhmedianincome	hhmedianincome	hhmedianincome	hhmedianincome	hhmedianincome	hhmedianincome
						
0b.urban#c.micro_1#c.cummulative_acc45_auto					5.117	
					(8.145)	
1.urban#c.micro_1#c.cummulative_acc45_auto					0.323	
					(0.252)	
0b.urban#c.micro_2#c.cummulative_acc45_auto					4.467	
					(3.621)	
1.urban#c.micro_2#c.cummulative_acc45_auto					1.337***	
					(0.290)	
0b.urban#c.micro_3#c.cummulative_acc45_auto					4.460	
					(3.416)	
1.urban#c.micro_3#c.cummulative_acc45_auto					1.890***	
					(0.274)	
0b.urban#c.micro_4#c.cummulative_acc45_auto					0.0881	
					(2.276)	
1.urban#c.micro_4#c.cummulative_acc45_auto					1.617	
					(1.056)	
0b.urban#c.micro_5#c.cummulative_acc45_auto					1.913	
					(2.268)	
1.urban#c.micro_5#c.cummulative_acc45_auto					0.0126	
					(0.680)	
geo_B			0.673*	1.063**	0.723*	0.700*
			(0.406)	(0.444)	(0.402)	(0.398)
geo_C			0.0306	0.268	0.211	-1.108*
			(0.576)	(0.599)	(0.594)	(0.606)
geo_D			-0.795	-0.729	-0.602	-2.044**
			(0.782)	(0.824)	(0.795)	(0.806)
network_U2			-0.00895	-0.0474	0.110	0.479*
			(0.220)	(0.223)	(0.224)	(0.263)
network_U3			0.100	0.0685	0.223	0.587**
			(0.219)	(0.221)	(0.228)	(0.255)
network_U4			-0.106	-0.162	-0.00302	0.0450
			(0.236)	(0.241)	(0.244)	(0.284)
network_U5			-0.289	-0.337	-0.0829	-1.766***
			(0.306)	(0.312)	(0.323)	(0.304)
network_R1			0.461*	0.475*	0.383	0.684*
			(0.253)	(0.253)	(0.262)	(0.353)
network_R2			0.463*	0.465*	0.397*	-0.0102
			(0.238)	(0.239)	(0.240)	(0.356)
o.network_R3					-	-
						
micro_2			0.0369	0.0354	-1.051***	-0.0895
			(0.159)	(0.159)	(0.209)	(0.150)
micro_3			0.0185	0.0264	-1.535***	0.0813
			(0.193)	(0.193)	(0.244)	(0.194)
micro_4			-0.216	-0.213	-1.402***	0.147
			(0.204)	(0.203)	(0.343)	(0.211)
micro_5			-0.300	-0.302	-1.274***	0.219
			(0.197)	(0.196)	(0.262)	(0.208)
busavailability			4.105***	4.040***	3.618***	3.624***
			(1.305)	(1.323)	(1.268)	(1.328)
busavailability2			-6.823***	-6.743***	-6.248***	-5.878***
			(1.827)	(1.854)	(1.783)	(1.834)
frac_age_above_65		-13.72***	-13.81***	-13.87***	-13.79***	-13.78***
		(1.483)	(1.490)	(1.496)	(1.497)	(1.474)
edu_above_bs		10.89***	10.72***	10.62***	10.44***	10.57***
		(1.342)	(1.362)	(1.361)	(1.346)	(1.349)
frac_hh_no_veh		-2.580	-2.401	-2.421	-1.827	-2.362
		(1.743)	(1.767)	(1.754)	(1.822)	(1.757)
frac_tenure_renter		-9.401***	-9.569***	-9.549***	-9.565***	-9.555***
		(0.885)	(0.878)	(0.879)	(0.873)	(0.877)
frac_below_poverty		-27.20***	-27.30***	-27.23***	-28.18***	-27.87***
		(2.474)	(2.482)	(2.478)	(2.457)	(2.488)
frac_hh_inc_below_40k		-15.20***	-15.40***	-15.50***	-15.75***	-15.85***
		(2.882)	(2.868)	(2.865)	(2.853)	(2.847)
frac_hh_inc_above_100k		133.7***	133.6***	133.7***	133.5***	132.9***
		(2.830)	(2.853)	(2.851)	(2.866)	(2.847)
job_density		0.0334	0.0339	0.0338	0.0370	0.0357
		(0.0281)	(0.0275)	(0.0275)	(0.0281)	(0.0265)
pop_density		-0.0532	-0.0532	-0.0530	-0.0336	-0.0503
		(0.0406)	(0.0426)	(0.0425)	(0.0419)	(0.0410)
unemployment_rate		0.138***	0.136***	0.136***	0.131***	0.131***
		(0.0220)	(0.0216)	(0.0216)	(0.0220)	(0.0222)
c.geo_A#c.cummulative_acc45_auto				1.016***		
				(0.261)		
c.geo_B#c.cummulative_acc45_auto				-0.0584		
				(0.354)		
c.geo_C#c.cummulative_acc45_auto				0.959		
				(2.043)		
c.geo_D#c.cummulative_acc45_auto				6.999		
				(7.507)		
cummulative_acc45_auto	3.806***	0.915***	0.933***			
	(1.212)	(0.217)	(0.237)			
c.network_U1#c.cummulative_acc45_auto						0.841***
						(0.325)
c.network_U2#c.cummulative_acc45_auto						0.453**
						(0.206)
c.network_U3#c.cummulative_acc45_auto						0.361
						(0.274)
c.network_U4#c.cummulative_acc45_auto						0.828***
						(0.302)
c.network_U5#c.cummulative_acc45_auto						3.531***
						(0.420)
c.network_R1#c.cummulative_acc45_auto						0.737
						(3.815)
c.network_R2#c.cummulative_acc45_auto						8.927**
						(4.470)
c.network_R3#c.cummulative_acc45_auto						0.791
						(2.204)
Constant	58.60***	37.00***	37.42***	37.37***	38.36***	37.88***
	(0.989)	(1.602)	(1.633)	(1.633)	(1.597)	(1.642)
						
Observations	72,006	71,964	71,964	71,964	71,964	71,964
R-squared	0.005	0.889	0.889	0.889	0.890	0.890
Number of county_enc	3,127	3,126	3,126	3,126	3,126	3,126
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
