	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	unemployment_rate	unemployment_rate	unemployment_rate	unemployment_rate	unemployment_rate	unemployment_rate
						
0b.urban#c.micro_1#c.cs_baseline					-0.00956	
					(0.0103)	
1.urban#c.micro_1#c.cs_baseline					0.00187	
					(0.00794)	
0b.urban#c.micro_2#c.cs_baseline					0.000431	
					(0.00857)	
1.urban#c.micro_2#c.cs_baseline					0.00105	
					(0.00654)	
0b.urban#c.micro_3#c.cs_baseline					-0.00324	
					(0.00894)	
1.urban#c.micro_3#c.cs_baseline					-0.000378	
					(0.00729)	
0b.urban#c.micro_4#c.cs_baseline					-0.00663	
					(0.00872)	
1.urban#c.micro_4#c.cs_baseline					-0.00830	
					(0.00738)	
0b.urban#c.micro_5#c.cs_baseline					-0.0106	
					(0.00822)	
1.urban#c.micro_5#c.cs_baseline					-0.0120*	
					(0.00682)	
geo_B			0.194	0.758	0.209	0.199
			(0.148)	(0.615)	(0.150)	(0.149)
geo_C			0.179	0.572	0.193	0.575
			(0.190)	(0.781)	(0.528)	(0.708)
geo_D			0.596**	1.671*	0.546	0.980
			(0.253)	(0.852)	(0.509)	(0.692)
network_U2			-0.0466	-0.0456	-0.0448	-0.138
			(0.0530)	(0.0528)	(0.0529)	(0.330)
network_U3			-0.0261	-0.0254	-0.0248	0.127
			(0.0578)	(0.0575)	(0.0576)	(0.409)
network_U4			0.0535	0.0552	0.0570	0.216
			(0.0548)	(0.0547)	(0.0547)	(0.398)
network_U5			-0.0844	-0.0865	-0.0817	0.302
			(0.0560)	(0.0562)	(0.0557)	(0.400)
network_R1			-0.0362	-0.0343	0.00864	0.148
			(0.0874)	(0.0874)	(0.0963)	(0.473)
network_R2			-0.0336	-0.0355	-0.0468	0.118
			(0.0875)	(0.0885)	(0.0889)	(0.449)
o.network_R3					-	-
						
micro_2			-0.142***	-0.129**	-0.0532	-0.131**
			(0.0518)	(0.0574)	(0.278)	(0.0530)
micro_3			-0.178***	-0.159**	0.0231	-0.169**
			(0.0662)	(0.0769)	(0.288)	(0.0679)
micro_4			-0.356***	-0.342***	0.360	-0.347***
			(0.0622)	(0.0694)	(0.403)	(0.0639)
micro_5			-0.359***	-0.350***	0.549	-0.364***
			(0.0726)	(0.0778)	(0.346)	(0.0732)
busavailability			0.821**	0.810**	0.822**	0.837**
			(0.396)	(0.394)	(0.395)	(0.396)
busavailability2			-0.965*	-0.955*	-0.982*	-0.995*
			(0.533)	(0.533)	(0.532)	(0.534)
frac_age_above_65		-6.860***	-6.855***	-6.856***	-6.849***	-6.852***
		(0.286)	(0.281)	(0.282)	(0.281)	(0.281)
edu_above_bs		-2.678***	-2.787***	-2.790***	-2.790***	-2.788***
		(0.232)	(0.243)	(0.243)	(0.243)	(0.242)
frac_hh_no_veh		3.217***	3.476***	3.420***	3.409***	3.434***
		(0.681)	(0.670)	(0.669)	(0.672)	(0.647)
frac_tenure_renter		-1.398***	-1.486***	-1.484***	-1.481***	-1.483***
		(0.172)	(0.178)	(0.178)	(0.179)	(0.178)
frac_below_poverty		6.245***	6.230***	6.264***	6.262***	6.262***
		(1.021)	(1.016)	(1.018)	(1.018)	(1.006)
frac_hh_inc_below_40k		5.176***	5.089***	5.092***	5.076***	5.096***
		(0.420)	(0.407)	(0.409)	(0.407)	(0.409)
frac_hh_inc_above_100k		-0.952***	-0.882***	-0.876***	-0.885***	-0.883***
		(0.257)	(0.260)	(0.261)	(0.259)	(0.260)
job_density		-0.0148***	-0.0149***	-0.0149***	-0.0149***	-0.0149***
		(0.00570)	(0.00562)	(0.00562)	(0.00562)	(0.00565)
pop_density		-0.0400***	-0.0419***	-0.0422***	-0.0423***	-0.0421***
		(0.0127)	(0.0133)	(0.0134)	(0.0133)	(0.0137)
hhmedianincome		0.00783***	0.00775***	0.00778***	0.00776***	0.00784***
		(0.00152)	(0.00149)	(0.00150)	(0.00149)	(0.00149)
c.geo_A#c.cs_baseline				0.00141		
				(0.00916)		
c.geo_B#c.cs_baseline				-0.00658		
				(0.00658)		
c.geo_C#c.cs_baseline				-0.00369		
				(0.00835)		
c.geo_D#c.cs_baseline				-0.0165		
				(0.0117)		
cs_baseline	0.142***	0.0127***	-0.00312			
	(0.00887)	(0.00375)	(0.00622)			
c.network_U1#c.cs_baseline						-0.000433
						(0.00737)
c.network_U2#c.cs_baseline						0.000901
						(0.00689)
c.network_U3#c.cs_baseline						-0.00235
						(0.00707)
c.network_U4#c.cs_baseline						-0.00250
						(0.00685)
c.network_U5#c.cs_baseline						-0.00575
						(0.00647)
c.network_R1#c.cs_baseline						-0.00857
						(0.00879)
c.network_R2#c.cs_baseline						-0.00818
						(0.00837)
c.network_R3#c.cs_baseline						-0.00575
						(0.00903)
Constant	-6.289***	2.987***	4.283***	3.919***	3.890***	4.057***
	(0.661)	(0.331)	(0.560)	(0.805)	(0.697)	(0.634)
						
Observations	72,418	72,018	72,018	72,018	72,018	72,018
R-squared	0.044	0.316	0.317	0.317	0.317	0.317
Number of county_enc	3,142	3,140	3,140	3,140	3,140	3,140
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
